,classiflers,f1_score,Precision,Recall,Accuracy
0,lf_s,0.03531489111241907,0.5217391304347826,0.0661521499448732,0.7443404769091458
1,rf_s,0.036242603550295856,0.4260869565217391,0.06680299931833673,0.7933896770298823
2,svc_s,0.035021888680425266,0.48695652173913045,0.06534422403733955,0.7582251735587081
3,stack_s,0.03596660244059088,0.48695652173913045,0.06698564593301436,0.7645638394204648
4,lf_s_restnet,0.30303030303030304,0.7207207207207207,0.4266666666666667,0.549266247379455
5,rf_s_restnet,0.36,0.6486486486486487,0.46302250803858525,0.649895178197065
6,svc_s_restnet,0.3110236220472441,0.7117117117117117,0.4328767123287671,0.5660377358490566
7,stack_s_restnet,0.3395348837209302,0.6576576576576577,0.44785276073619634,0.6226415094339622
8,lf_s_restnet_w,0.030254777070063694,0.5181818181818182,0.05717151454363089,0.7162692423785089
9,rf_s_restnet_w,0.046192259675405745,0.33636363636363636,0.08122941822173436,0.873679444612134
10,svc_s_restnet_w,0.040036396724294813,0.4,0.07278742762613731,0.8308179897373982
11,stack_s_restnet_w,0.03495994173343044,0.43636363636363634,0.06473364801078894,0.7906731059462723
